Course,Prerequisite
antc31h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB10H3
antc32h3,Completion of 1.0 credit from the following courses [[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3]   ANTA02H3  GGRA02H3  GASA01H3/ HISA06H3  GASA02H3  HISA04H3  HISA05H3
antc33h3,None
antc34h3, VPHA46H3 and [ VPSB59H3 or  VPSB71H3 or  VPSB86H3]; and [an additional 1.5 credits at the B- or C-level in VPS courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
antc35h3,[ FREA01H3 and  FREA02H3] or equivalent.
antc40h3, FSTB01H3
antc41h3,12.0 credits including  IDSA01H3
antc42h3,At least 15.0 credits and completion of the requirements for the Major Program in History; written permission must be obtained from the instructor in the previous session.
antc47h3, MGFC10H3/( MGTC09H3)
antc48h3,None
antc52h3, ENGB60H3 or  ENGB61H3
antc53h3, EESA01H3 or  EESA06H3
antc58h3,1.0 credit at the C- level in ENG courses
antc59h3, EESA01H3 or  EESA07H3
antc61h3,[ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)] or [ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)] and  IDSA01H3
antc62h3,None
antc66h3, POLB90H3
antc67h3,[ STAB23H3 or equivalent] or POL242Y
antc68h3,9.0 credits including  VPAB16H3 and  VPAB17H3 (or its equivalent with instructor permission) and successful completion of required Field Placement Preparation Activities
antc69h3, EESA06H3 and 1.0 full credit in B-level EES courses
antc70h3, MGAB03H3/( MGTB03H3) and [ MGHB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)]
antc80h3, LINB04H3 and  LINB06H3 and  LINB10H3
antc89h3, ACMA01H3 or  VPHA46H3 or  GASA01H3
antc99h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Value Theory sub-discipline area of focus – see Table 1.0 for reference]
antd01h3, MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3) and [ MATA29H3 or  MATA30H3 or  MATA31H3 or  MATA32H3] and [ MATA33H3 or  MATA35H3 or  MATA36H3 or  MATA37H3]. Students who have completed  MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3) and [ MATA29H3 or  MATA30H3 or  MATA31H3 or  MATA32H3] and [ MATA33H3 or  MATA35H3 or  MATA36H3 or  MATA37H3] may be admitted with the permission of the Academic Director Economics.
antd04h3,10.0 credits and  SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
antd05h3,Completion of at least 10.0 full credits in any B.B.A. program
antd06h3,Any 4.0 credits
antd07h3,None
antd10h3, BIOB98H3
antd13h3,Completion of 4.0 full credits and selection of a U of T Scarborough major or specialist subject POSt.  GPA and communication skills will also be considered.
antd15h3, BIOC10H3 or  BIOC12H3
antd16h3, SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
antd17h3,[ BIOB11H3 or ( BIOB10Y3)] and [ PSYB07H3 or  STAB22H3]
antd19h3,None
antd20h3,[ PHYA21H3 or PHY132H or (PHY138Y) or PHY152H] and  MATB41H3
antd22h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
antd24h3,None
antd25h3, ANTA01H3 or [ HLTA02H3 and  HLTA03H3]
antd31h3, ACMB01H3 and  VPMB82H3 and  VPMB84H3 and [an additional 0.5 credit at the B-level in VPM courses]
antd32h3,[ MGHB02H3 or  MGIB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)] or  MGHC02H3/( MGTC90H3) or  MGIC02H3
antd35h3, ACMA01H3 or  VPHA46H3 or  GASA01H3
antd40h3,[ ENGB61H3 or  ENGB63H3] and [ ENGC87H3 or  ENGC88H3] and [1 other C-level Creative Writing course] and permission of the instructor
antd41h3,None
antd99h3, FREB45H3 or  LINB06H3
asta01h3, MATB42H3
asta02h3,Any 6.0 credits 
astb03h3, MGAB02H3/( MGTB06H3) and  MGFC10H3/( MGTC09H3)
astb23h3, LINB29H3 and  PLIC55H3
astc02h3,None
astc25h3,[0.5 credit at the B-level in Creative Writing] and [0.5 credit at the C-level in Creative Writing]
bioa01h3,Completion of at least 2.0 credits at the C-Level in HLT courses from the requirements of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5.
bioa02h3, VPHA46H3
bioa11h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and [ PSYB51H3 or  PSYB57H3]
biob10h3,[ACMB01H and  VPMB82H3] and [an additional 1.0 credit at the B-level in VPM courses]
biob11h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the History of Philosophy area of focus see Table 1.0 for reference]
biob12h3, STAB27H3 or  STAB57H3 or  MGEB12H3/( ECMB12H3) or  PSYC08H3 or  STA221H1 or  STA248H1 or  STA261H1
biob32h3, PLIC24H3 and  PLIC55H3
biob33h3,None
biob34h3,None
biob35h3,3.5 credits in PHL courses including [ PHLC31H3 or  PHLC32H3] and an additional 0.5 credit at the C-level
biob38h3,None
biob50h3,Enrolment in a Bachelor of Business Administration (B.B.A.) program.
biob51h3,[ FREA01H3 and  FREA02H3] or equivalent.
biob52h3,[ AFSA03H3/ IDSA02H3 or  IDSB01H3 or  IDSB02H3] or [[ WSTA01H3 or  WSTA03H3 ] and [an additional 0.5 credit in WST courses]]
biob98h3, VPAA12H3 and  VPAB13H3 and  VPAB16H3 and  ACMB01H3
biob99h3,None
bioc10h3,At least 12.0 full credits including  WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)] and  WSTB05H3 and 1.5 full credits taken from the courses listed in #3 and #7 in the Major Program.
bioc12h3,[ ANTB19H3 and  ANTB20H3 and [( ANTC60H3) or  ANTC70H3]] and [an additional 1.0 credit at the C-level in socio-cultural anthropology] and [a cumulative GPA of 2.7 or permission of the instructor]. Preference will be given to Specialists and Majors in Anthropology in that order.
bioc13h3,10.0 credits and [an additional 1.0 credit at the A-level in MAT courses [excluding  MATA02H3]]
bioc14h3,5.0 credits including  MDSA01H3 and  MDSA02H3
bioc15h3,3.0 credits at the B-level in the Department of Arts Culture and Media.
bioc16h3,None
bioc17h3,Any 4.0 credits
bioc19h3,[ FREB01H3 and  FREB02H3] or equivalent and one of  FREB22H3  FREB27H3 and  FREB28H3 or equivalent.
bioc20h3,None
bioc21h3,None
bioc23h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
bioc31h3,8.0 credits including 0.5 credit at the A or B-level in WST courses and 0.5 credit at the A or B-level in FST courses
bioc32h3, ACMB01H3 and [ VPMB84H3 or ( VPMA99H3)] and [an additional 1.0 credit at the B-level in VPM courses]
bioc33h3, NROB60H3 and  BIOB10H3
bioc34h3,[Grade 12 Biology or  BIOA11H3] and [Grade 12 Advanced Functions or Grade 12 Calculus and Vectors or the Online Mathematics Preparedness Course]
bioc37h3, ESTB01H3
bioc39h3, PHLC51H3
bioc40h3, VPHA46H3
bioc50h3,(1) Enrolment in a UTSC Major or Specialist Subject POSt offered by Biological Sciences and (2) completion of all second year core program requirements and (3) have at least 10.0 full credits and (4) a cumulative GPA of at least 3.0 and (5) a commitment from a Biology faculty member to serve as supervisor and (6) formation of a group that includes at least 2 other students
bioc51h3,None
bioc52h3, BIOB50H3
bioc54h3,None
bioc58h3,[ MATA36H3 or  MATA37H3] &  MATA23H3 & [CGPA 3.0 or enrolment in a CSC Subject POSt]
bioc59h3, LINB04H3
bioc60h3,Any 8.0 credits
bioc61h3,None
bioc62h3, VPHB58H3 or  VPHB59H3
bioc63h3, MATA30H3 or  MATA31H3
bioc65h3, VPHA46H3
bioc99h3, MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)
biod07h3,1.5 credits at the C-level in Studio courses
biod08h3, IMCB01H3 and  IMCB02H3
biod12h3, HLTB22H3 or  HLTB41H3
biod17h3, WSTA01H3 or  WSTA03H3 and one full credit at the B-level in ANT LIN SOC or WST
biod19h3,None
biod20h3,Completion of at least 2.0 credits at the C-Level in HLT courses from the requirements of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5.
biod21h3,Grade 12 Calculus and Vectors
biod22h3, MGEB02H3/( ECMB02H3)
biod23h3, VPSA62H3 and  VPSA63H3
biod25h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
biod26h3,[ PSYB01H3 or  PSYB04H3] and  PSYB10H3 and [ PSYC12H3 or  PSYC14H3]
biod27h3, ANTA01H3 or  ANTB14H3
biod29h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
biod30h3,Any 2.0 credits at A-level
biod33h3,[ ANTB19H3 and  ANTB20H3] or [ MDSA01H3 and  MDSB05H3 and  ACMB01H3]
biod35h3,None
biod37h3,[ FREA01H3 and  FREA02H3] or equivalent.
biod43h3,[ ANTB19H3 and  ANTB20H3] or  HLTB42H3
biod45h3,None
biod48h3, PHYB54H3  PHYB21H3  MATA23H3  MATB42H3  MATB44H3
biod52h3, MGHB12H3/( MGTC22H3) or  MGIB12H3
biod53h3,At least 1.0 credit at the C-level in LIN courses and permission of the supervising instructor.
biod54h3, ACMB01H3 and  VPMB90H3 and [an additional 1.0 credit at the B-level in VPM courses]
biod59h3,2 C-level courses in English
biod60h3,5.0 credits including  MDSA01H3 and  MDSA02H3
biod62h3,13.0 credits including  GGRB21H3
biod65h3,None
biod66h3,2.5 credits in HIS courses
biod67h3,15.0 credits including at least 4.0 credits at the C- or D-level
biod95h3,3.5 credits in PHL courses including [[ PHLC05H3 or  PHLC06H3] and 0.5 credit at the C-level]
biod96y3,Any B-level course in Creative Writing
biod98y3,Grade 12 Calculus and Vectors and one other Grade 12 mathematics course
biod99y3,15.0 credits and completion of the following requirements from either the Major or Major Co-operative programs in City Studies: (2) Core Courses and (4) Methods
chma10h3,None
chma11h3, PHYA21H3 [ MATA36H3 or  MATA37H3]
chmb16h3, POLB80H3 and  POLB81H3
chmb20h3, HLTA02H3 and  HLTA03H3 and [ BIOA11H3 or [ BIOA01H3 and  BIOA02H3]]
chmb21h3, ANTB19H3 and  ANTB20H3 and at least two additional C-level courses (1.0 credit) in socio-cultural anthropology.
chmb23h3,[ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)] or [ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)]
chmb31h3,Completion of at least 10 full credits and prior permission of the program supervisor.
chmb41h3, ANTB22H3
chmb42h3, EESA06H3 or  EESA09H3
chmb43y3, CHMB20H3
chmb55h3, MGHB02H3 or  MGIB02H3 or ( MGTB23H3) or ( MGTB27Y3)
chmb62h3,Any 4.5 credits and [and additional 1.5 credits in PHL courses of which 0.5 credit must be from the History of Philosophy area of focus – see Table 1.0 for reference] 
chmc11h3,[ MATA22H3 or  MATA23H3]
chmc16h3, NMEA01H3  NMEA02H3  NMEA03H3  NMEA04H3
chmc20h3,None
chmc21h3, BIOA01H3 and  BIOA02H3
chmc25h3,[ MATA22H3 or  MATA23H3] and  MATB41H3
chmc31y3,Any 4.0 credits.
chmc41h3, PHYB54H3 and  MATC46H3
chmc42h3,8.0 credits including [( HISC14H3) or  HISB14H3]
chmc47h3, LINA01H3
chmd16h3,8.0 credits of which at least 1.5 credits must be at the C- or D-level
chmd39h3,Any 6.0 credits
chmd59h3, IDSA01H3 and  IDSC04H3
chmd69h3,A minimum GPA of 2.5 and 3 full credits in EES courses. Permission of the Supervisor of Studies.
chmd71h3, MGSC01H3 or  MGIC01H3
chmd79h3,[Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]] or [10.0 credits including  SOCB60H3]
chmd89h3,2 C-level courses in English
chmd90y3, ACMB01H3 and [[2.0 credits at the B-level in VPM courses] or [2.0 credits at the B-level in MDS courses]]
chmd91h3,None
chmd92h3, HLTB15H3 and  STAB22H3; and a minimum CGPA of 3.0; and permission of the faculty supervisor and ICHS Director.
citb01h3,[ POLB90H3 and  POLB91H3] or equivalent
citb02h3,Any 8.0 credits including [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
citb03h3,Any 6.0 credits or [ VPDB10H3 and  VPDB11H3]
citb04h3,[ POLB90H3 and  POLB91H3] or equivalent
citb08h3,None
citc01h3, JOUC13H3 and  JOUC16Y3 and  JOUC17H3
citc02h3,1.5 full credits at the C-level in Studio.
citc03h3,[[ MGTA01H3/( MGTA03H3) and  MGTA02H3/( MGTA04H3)] or  MGTA05H3]] and [ MGTA35H3 or  MGTA36H3 or ( MGTC36H3)]
citc04h3, MGTA05H3 or [ MGTA01H3 and  MGTA02H3]
citc07h3,Online placement test and survey.
citc08h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in GAS or HIS courses] and [0.5 credit at the C-level in GAS or HIS courses]
citc09h3, FREA98H3 ( LGGB23H3) or equivalent.
citc10h3, ANTB19H3 and  ANTB20H3
citc12h3,Any 6.0 credits
citc14h3, MGAC50H3/( MGTC16H3)
citc15h3, MATB43H3
citc16h3,Permission of the course coordinator.
citc17h3,Any B-level course in African Studies Linguistics History or Women's and Gender Studies
citc18h3, HLTB41H3
citd01h3, ANTA01H3 or  ANTB14H3 or  ANTC17H3
citd05h3, ACMB01H3 and [[2.0 credits at the B-level in MDS courses] or [2.0 credits at the B-level in JOU courses] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses]]
citd06h3,10.0 credits and  SOCB05H3 and [1.0 credit from the following: [ SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3  SOCB50H3 ( SOCB51H3)]
citd10h3, ANTA02H3 or [any 4.0 credits in ANT HLT IDS CIT GGR POL SOC or HCS courses]
citd30h3, ANTA02H3 or  MDSA01H3
claa04h3, MGAC01H3/( MGTC07H3)
claa05h3,None
claa06h3,[ MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)] and  MGMB01H3/( MGTC05H3)
clab05h3,Any 6.0 credits
clab06h3,Minimum GPA of 3.5 in English courses; 15.0 credits of which at least 2.0 must be at the C-or D-level in English.
clab20h3, VPHA46H3 or  GASA01H3
clac01h3, BIOB12H3 and  BIOC15H3 and  BIOC17H3
clac02h3, CHMA11H3 and  STEB07H3
clac05h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB58H3 and enrolment in the Minor in Culture Creativity and Cities] or [ CITB02H3 and enrolment in the Major/Major Co-op in City Studies]
clac11h3, BIOC33H3 or  BIOC34H3
clac12h3, CHMA11H3
clac22h3,[10.0 credits including [( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3] and  SOCB05H3 and [ SOCB35H3 or ( SOCB06H3)]] and a cumulative GPA of at least 2.3
clac24h3,[ MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)] and  MGEB02H3/( ECMB02H3)
clac68h3,One full credit in art history or in Asian or medieval European history.
clad05h3, ENGB61H3
cogc91h3,A minimum 3.3 CGPA in Political Science courses and permission of the instructor; Restricted to students in the 4th year of the Specialist in Political Science program
cogc92h3,Any 4.0 credits.
cogd10h3,4.0 credits including  ACMB01H3
crtb01h3,[ FREA01H3 and  FREA02H3] or equivalent.
crtb02h3,[ MATA22H3 or  MATA23H3 or MAT223H] and [[ MATA36H3 or  MATA37H3] or MAT137Y or MAT157Y]]
crtc72h3,[ MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)] and  MGMB01H3/( MGTC05H3)
crtc80h3,None
crtd43h3, BIOB50H3 and  STAB22H3 and [ BIOC59H3 or  BIOC61H3]
crtd44h3,None
csca08h3,Any 4.0 credits including 0.5 credit at the A- or B-level in AFS CLA FST GAS HIS or WST courses
csca20h3, ANTB14H3 and  ANTB15H3 and at least one C-level course in biological anthropology.
csca48h3,None
csca67h3,None
cscb07h3,Any 2.0 credits; and an additional 2.0 credits at the C-level in ACM CFL HCS ENG and PHL
cscb09h3,Any 14.5 credits
cscb20h3, LGGA74H3
cscb36h3, LGGC64H3 or  LGGC65H3
cscb58h3,2.0 credits in CLA or HIS courses including 2 of the following [ CLAA04H3/ HISA07H3  CLAB05H3/ HISB10H3  CLAB06H3/ HISB11H3]
cscb63h3, RLGA02H3 or ( RLGB01H3) or ( HUMB03H3)
cscc01h3,None
cscc09h3,1.5 credits at the C-level in POL courses
cscc10h3,1.0 credit at the B-level and 1.0 credit at the C-level in HIS WST or other Humanities and Social Sciences courses
cscc11h3, MGEB02H3/( ECMB02H3) and [ MATA29H3 or  MATA30H3 or  MATA31H3 or  MATA32H3] and [ MATA33H3 or  MATA35H3 or  MATA36H3 or  MATA37H3]
cscc24h3, LGGA61H3 or ( LGGA02H3)
cscc37h3,Completion of at least 6.0 credits from the requirements of one of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5; and permission of the instructor.
cscc43h3, MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)
cscc46h3, VPMB73H3
cscc63h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB10H3 and [ PSYC13H3 or  PSYC18H3 or  PSYC19H3] 
cscc69h3, MGEB06H3/( ECMB06H3) and [ MATA29H3 or  MATA30H3 or  MATA31H3 or  MATA32H3] and [ MATA33H3 or  MATA35H3 or  MATA36H3 or  MATA37H3]
cscc73h3,None
cscc85h3,None
cscd01h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
cscd03h3,One full credit in Classics or Religion
cscd18h3,None
cscd27h3, BIOA01H3 and  BIOA02H3
cscd37h3, PSYA01H3 and  PSYA02H3
cscd43h3,Permission of the course coordinator.
cscd54h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3) or  MGEB05H3/( ECMB05H3) or  MGEB06H3/( ECMB06H3)
cscd58h3, MGOC10H3/( MGTC74H3)
cscd70h3, ACMB01H3 and [ VPMB84H3 or ( VPMA99H3)] and [an addition 1.0 credit at the B-level in VPM courses]
cscd71h3, PHYB10H3  PHYB21H3  PHYB52H3
cscd72h3, VPDA10H3 and permission of the Theatre and Performance Studies Teaching Staff
cscd84h3, MGEC51H3/( ECMC51H3) and  MGEB02H3/( ECMB02H3) and  MGEB12H3/( ECMB12H3)
cscd90h3, SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
cscd92h3,[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3
cscd94h3,13.0 credits including [ GGRB05H3 or  GGRB13H3 or  CITB02H3 or  IDSB06H3]
cscd95h3, LINB06H3 or  FREB45H3
cteb01h3,[1.5 credits at the C-level in MAT courses] and permission of the Supervisor of Studies] and [a CPGA of at least 3.0 or enrolment in a Mathematics Subject POSt]
ctec01h3, MDSA01H3 and  MDSA02H3
ctla01h3, VPMB90H3 and [an additional 1.0 credit at the B-level in VPM courses]
ctla02h3, VPHA46H3 and [3.0 credits at the B- or C-level in VPS courses including 1.0 credit taken from:  VPSB56H3  VPSB61H3  VPSB62H3  VPSB67H3  VPSB70H3  VPSB74H3  VPSB75H3  VPSB80H3 or  VPSB85H3]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
ctla10h3, ANTB19H3 and  ANTB20H3
ctlb03h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS GAS or CLA courses]
dtsb01h3,Any 6.0 credits 
dtsb02h3,[ PHYA10H3 or  PHYA11H3] and  EESB15H3 and  EESB20H3
ectb60h3,15.0 credits including [ SOCA03Y3 or [( SOCA01H3) and ( SOCA02H3)]] and [ SOCB35H3 or ( SOCB06H3)] and [[ SOCB05H3 or [( SOCB40H3) and ( SOCB41H3)]] and  SOCB42H3 and  SOCB43H3; and permission of the instructor and the Sociology Supervisor of Studies.
ectb61h3,3.5 credits in WST courses including [ WSTB05H3 and 0.5 credit at the C-level]
ectc61h3, HLTB22H3 or  HLTB41H3
ectd68h3, BIOB34H3 or  NROB60H3
ectd69h3,Any 8.0 credits
eesa01h3,Any 6.0 credits 
eesa06h3, ECTB61H3 and [ LGGC64H3 or  LGGC65H3 or  LGGC66H3 or  LGGC67H3]. Students must have a minimum GPA of 70% in LGGC64H or LGGC65H (or an equivalent through an interview).
eesa07h3,None
eesa09h3,Any 5 full credits including  RLGA01H3 or  RLGA02H3 or  RLGB10H3
eesa10h3,At least 1 full credit in Arts Management at the C-level. Written consent and approval of a formal proposal in the approved format must be obtained from the supervising instructor and Program Director by the last date of classes in the previous academic session.
eesa11h3, VPAA10H3
eesb02h3, HLTA03H3 and  HLTB50H3 and [an additional 1.5 credits at the C-level in HLT courses]; and a minimum CGPA of 2.5.
eesb03h3,None
eesb04h3,Any 4.0 credits
eesb05h3, CHMA10H3 and  CHMA11H3 and  EESB15H3
eesb15h3, BIOA01H3 and  BIOA02H3
eesb16h3, ACMD01H3
eesb17h3,Satisfactory completion of 13.5 full credits of which at least four must be Biology B- or C-level courses and permission of the instructor.
eesb18h3,Any 6.0 credits 
eesb19h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
eesb20h3,4.0 credits including  ACMB01H3
eesc03h3, POLB92H3 or  POLB50Y3
eesc04h3, WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)]
eesc07h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]
eesc13h3,[( POLB70H3) and ( POLB71H3)] or  POLB72H3 or [1.0 credit at the B-level in IDS courses]
eesc16h3, VPMB70H3
eesc18h3, HLTB22H3
eesc19h3,None
eesc20h3, MATB24H3 and  MATB41H3 and [ CSCB09H3 or proficiency in C] and  CSCC37H3 and [a CGPA of at least 3.0 or enrolment in a Computer Science Subject POSt]
eesc24h3, ANTA02H3 or [any 4.0 credits in ANT HLT IDS CIT GGR POL SOC or HCS courses]
eesc30h3,Any 8.0 credits
eesc31h3,[ POLB50Y3 or equivalent] or 1.5 credits at the B-level in CIT courses]
eesc33h3,8.0 credits including 1.0 credit from any program offered by the Department of Historical and Cultural Studies
eesc34h3, ANTB19H3 and  ANTB20H3 and [at least one previous area course] and at least one additional C-level course in socio-cultural anthropology.
eesc36h3, VPHA46H3 and [3.0 credits at the B- or C-level in VPS courses including 0.5 credit taken from:  VPSB58H3  VPSB59H3  VPSB76H3  VPSB77H3  VPSB88H3  VPSB89H3 or  VPSB90H3]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
eesc37h3,[ MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)] and [ MGTA35H3 or  MGTA36H3 or ( MGTC36H3)]
eesd02h3, MATA33H3 or  MATA36H3 or  MATA37H3
eesd06h3, VPSA62H3 and  VPSA63H3
eesd07h3, BIOB11H3 or ( BIOB10Y3)
eesd09h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
eesd10y3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB23H3 or  STAB22H3]
eesd11h3, MGEB02H3/( ECMB02H3) and  MGEB06H3/( ECMB06H3)
eesd13h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS GAS or CLA courses]
eesd15h3,None
eesd16h3, VPSA62H3 and  VPSA63H3
eesd17y3, MATB44H3
eesd18h3,[ POLB50Y3 or equivalent] and [1.5 credits at the C-level in POL courses]
